UserId,Gender,AgeGroup,Hobbies,Profession,Seasons,ListingId,PricePerDay,ReviewScore
1,Male,30-50,Indoors,IT Professional,Spring,2456278,362,9
2,Female,18-30,Outdoors,Student,Winter,11140684,382,10
3,Male,18-30,Outdoors,Student,Winter,2159234,317,10
4,Male,30-50,Indoors,IT Professional,Spring,1160233,64,9
5,Female,50+,Indoors,Professor,Summer,3470569,219,10
6,Male,50+,Outdoors,Professor,Fall,254762,90,9
7,Female,50+,Outdoors,Professor,Spring,1034433,50,10
8,Female,18-30,Indoors,Student,Winter,11140684,382,10
9,Female,18-30,Outdoors,Student,Fall,12319348,398,10
10,Female,18-30,Indoors,Student,Fall,10659884,125,9
11,Male,30-50,Outdoors,IT Professional,Fall,1701332,120,9
12,Male,50+,Outdoors,Professor,Spring,4423099,60,10
13,Male,18-30,Outdoors,Student,Fall,3346581,37,9
14,Male,30-50,Indoors,IT Professional,Spring,2404190,60,9
15,Male,50+,Indoors,Professor,Spring,1230963,33,10
16,Female,50+,Indoors,Professor,Winter,192499,35,10
17,Female,18-30,Outdoors,Student,Fall,1073990,50,8
18,Male,30-50,Outdoors,IT Professional,Summer,1160233,64,9
19,Male,30-50,Outdoors,IT Professional,Winter,1114531,105,9
20,Male,18-30,Indoors,Student,Spring,3022976,99,9
21,Male,18-30,Indoors,Student,Summer,1230963,33,10
22,Male,50+,Indoors,Professor,Winter,2437142,167,9
23,Male,30-50,Outdoors,IT Professional,Spring,1102061,66,9
24,Female,50+,Indoors,Professor,Summer,1160233,64,9
25,Female,30-50,Indoors,IT Professional,Fall,1701332,120,9
26,Female,30-50,Indoors,IT Professional,Winter,4091388,89,9
27,Male,50+,Outdoors,Professor,Winter,4740924,132,7
28,Female,50+,Indoors,Professor,Spring,2159234,317,10
29,Male,30-50,Indoors,IT Professional,Spring,4215596,99,10
30,Male,18-30,Indoors,Student,Summer,1160233,64,9
31,Female,30-50,Indoors,IT Professional,Winter,11140684,382,10
32,Male,50+,Outdoors,Professor,Winter,2892566,120,10
33,Female,30-50,Indoors,IT Professional,Summer,4481723,225,
34,Female,50+,Outdoors,Professor,Fall,1230963,33,10
35,Male,30-50,Indoors,IT Professional,Winter,10659884,125,9
36,Male,30-50,Indoors,IT Professional,Fall,12051867,100,10
37,Female,50+,Outdoors,Professor,Winter,1160233,64,9
38,Female,50+,Indoors,Professor,Fall,1398797,305,9
39,Female,18-30,Outdoors,Student,Fall,2029340,79,9
40,Female,18-30,Outdoors,Student,Fall,4475744,32,10
41,Male,50+,Outdoors,Professor,Summer,4525533,59,7
42,Female,18-30,Outdoors,Student,Fall,10659884,125,9
43,Female,50+,Indoors,Professor,Fall,12051867,100,10
44,Male,18-30,Indoors,Student,Winter,254762,90,9
45,Female,50+,Outdoors,Professor,Fall,1034433,50,10
46,Male,18-30,Indoors,Student,Winter,1092125,145,9
47,Male,30-50,Indoors,IT Professional,Winter,196215,60,10
48,Female,30-50,Indoors,IT Professional,Summer,7301846,69,10
49,Male,30-50,Indoors,IT Professional,Winter,194465,800,9
50,Female,30-50,Outdoors,IT Professional,Summer,1244835,215,10
51,Female,50+,Outdoors,Professor,Spring,1701332,120,9
52,Female,50+,Outdoors,Professor,Fall,4423099,60,10
53,Male,30-50,Indoors,IT Professional,Fall,1862589,220,
54,Female,30-50,Indoors,IT Professional,Summer,1751055,280,7
55,Male,18-30,Outdoors,Student,Spring,1369450,300,10
56,Female,50+,Indoors,Professor,Spring,10659884,125,9
57,Female,18-30,Outdoors,Student,Fall,12051867,100,10
58,Male,50+,Outdoors,Professor,Fall,1989884,550,10
59,Male,30-50,Outdoors,IT Professional,Fall,4020302,250,10
60,Female,30-50,Indoors,IT Professional,Winter,3198600,199,9
61,Female,30-50,Indoors,IT Professional,Winter,2444911,100,9
62,Female,18-30,Outdoors,Student,Summer,1450274,392,9
63,Female,18-30,Indoors,Student,Summer,10659884,125,9
64,Male,30-50,Indoors,IT Professional,Winter,12051867,100,10
65,Female,30-50,Outdoors,IT Professional,Fall,5228935,225,9
66,Male,18-30,Indoors,Student,Spring,1753382,159,10
67,Male,50+,Indoors,Professor,Summer,7060208,275,
68,Female,18-30,Indoors,Student,Winter,4011630,67,9
69,Male,18-30,Outdoors,Student,Fall,3439486,45,8
70,Male,18-30,Outdoors,Student,Winter,1034433,50,10
71,Female,18-30,Indoors,Student,Spring,11140684,382,10
72,Female,18-30,Indoors,Student,Winter,10659884,125,9
73,Female,30-50,Indoors,IT Professional,Spring,12051867,100,10
74,Female,18-30,Indoors,Student,Spring,1323225,279,10
75,Female,50+,Indoors,Professor,Winter,2892566,120,10
76,Male,30-50,Outdoors,IT Professional,Fall,1163153,110,10
77,Female,50+,Outdoors,Professor,Winter,2692691,905,
78,Male,18-30,Outdoors,Student,Summer,13506043,771,
79,Female,50+,Indoors,Professor,Summer,11539034,503,10
80,Male,50+,Indoors,Professor,Spring,2069038,751,10
81,Female,18-30,Indoors,Student,Winter,10659884,125,9
82,Male,18-30,Indoors,Student,Fall,2499376,85,10
83,Female,50+,Indoors,Professor,Fall,1138151,150,10
84,Female,18-30,Indoors,Student,Winter,4045063,38,10
85,Male,30-50,Outdoors,IT Professional,Summer,10085052,79,10
86,Male,50+,Outdoors,Professor,Fall,1014634,80,
87,Female,18-30,Indoors,Student,Summer,10036320,430,
88,Female,50+,Outdoors,Professor,Spring,1039388,110,10
89,Male,18-30,Outdoors,Student,Winter,11261688,40,
90,Female,30-50,Indoors,IT Professional,Spring,10995958,78,
91,Male,30-50,Indoors,IT Professional,Fall,3124475,30,10
92,Male,18-30,Indoors,Student,Spring,10206186,270,10
93,Female,30-50,Indoors,IT Professional,Spring,10730279,30,10
