User,Gender,AgeGroup,Hobbies,Profession,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25
1,Male,30-50,Indoors,IT Professional,1559655,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,6443289,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,1084712,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,3411845,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,2275891,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,6896055,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,6502910,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,2596677,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,1024587,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,11388684,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,4573768,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,1758811,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,4116862,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,5324390,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,1293971,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,3171362,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,1163153,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,1629582,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,892315,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,2475239,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,3427815,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,11049346,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,8036406,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,6133638,,,,,,,,,,,,,,,,,,,,,,,,
1,Male,30-50,Indoors,IT Professional,3918124,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,1559655,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,6443289,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,1084712,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,3411845,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,2275891,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,6896055,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,6502910,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,2596677,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,1024587,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,11388684,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,4573768,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,1758811,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,4116862,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,5324390,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,1293971,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,3171362,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,1163153,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,1629582,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,892315,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,2475239,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,3427815,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,11049346,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,8036406,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,6133638,,,,,,,,,,,,,,,,,,,,,,,,
2,Female,18-30,Outdoors,Student,3918124,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,18-30,Outdoors,Student,1559655,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,18-30,Outdoors,Student,6443289,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,18-30,Outdoors,Student,1084712,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,18-30,Outdoors,Student,3411845,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,18-30,Outdoors,Student,2275891,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,18-30,Outdoors,Student,6896055,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,18-30,Outdoors,Student,6502910,,,,,,,,,,,,,,,,,,,,,,,,
