Userid,Gender,AgeGroup,Hobbies,Profession,Seasons,Listing ID,CountOfListingID,AgeGroup18-30_weight,AgeGroup30-50_Weight,AgeGroup50+_weight,Seasons_Summer_weight,Seasons_Winter_weight,Seasons_Spring_weight,Seasons_Fall_weight,Profession_IT_Professional_weight,Profession_Professor_weight,Profession_Student_weight,Profession_Contractor_weight,Hobbies_Indoor_weight,Hobbies_outdoor_weight,Room_type,Street,house_rules,Price_per_day,amenities,property_type,review_score
1,Male,30-50,Indoors,IT Professional,Spring,2456278,3,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0.666666666666667,0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0.666666666666667,Entire home/apt,"Oldermandsvej, K'Ÿbenhavn, Hovedstaden 2400, Denmark",,362,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",Breakfast,""Elevator in Building"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguis",Apartment,9
2,Female,18-30,Outdoors,Student,Winter,11140684,4,0.75,0.25,0,0,0.75,0.25,0,0.25,0,0.75,0,0.75,0.25,Private room,"Haderslevgade, K'Ÿbenhavn, 1671, Denmark","Vi har vist ikke nogle s'_rlige krav til hvorledes man opf'Ÿrer sig her i huset, ud over, at vi 'Ÿnsker at I behandler os, som I gerne selv vil behandles. Dette inkluderer f.ex. at man g'«r lidt stille med d'Ÿrene, hvis man kommer sent hjem om natten. So",382,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",Apartment,10
3,Male,18-30,Outdoors,Student,Winter,2159234,4,0.25,0,0.75,0,0.25,0.75,0,0,0.75,0.25,0,0.75,0.25,Private room,"Dannebrogsgade, Copenhagen, Capital Region of Denmark 1660, Denmark",Absolutely NO smoking - anywhere in the apartment (that includes the balcony)!,317,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",House,10
4,Male,30-50,Indoors,IT Professional,Spring,1160233,5,0.2,0.4,0.4,0.6,0.2,0.2,0,0.4,0.4,0.2,0,0.6,0.4,Entire home/apt,"Dialeon, Athina, Gazi 118 54, Greece",,64,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dr",Apartment,9
5,Female,50+,Indoors,Professor,Summer,3470569,9,0.333333333333333,0.444444444444444,0.222222222222222,0.111111111111111,0.444444444444444,0.222222222222222,0.222222222222222,0.111111111111111,0.333333333333333,0.333333333333333,0.222222222222222,0.444444444444444,0.555555555555556,Entire home/apt,"Katharinenstra'Ùe, Berlin, Berlin 10711, Germany",,219,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",Washer,Dryer,Essentials,Shampoo}",Apartment,10
6,Male,50+,Outdoors,Professor,Fall,254762,9,0.444444444444444,0.222222222222222,0.333333333333333,0.111111111111111,0.333333333333333,0.222222222222222,0.333333333333333,0.111111111111111,0.111111111111111,0.444444444444444,0.333333333333333,0.333333333333333,0.666666666666667,Entire home/apt,"Katharinenstra'Ùe, Berlin, Berlin 10711, Germany",,90,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Essentials}",Apartment,9
7,Female,50+,Outdoors,Professor,Spring,1034433,9,0.333333333333333,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.444444444444444,0.111111111111111,0.111111111111111,0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,Private room,"Friedbergstra'Ùe, Berlin, Berlin 14057, Germany",,50,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Essentials,Shampoo}",Apartment,10
8,Female,18-30,Indoors,Student,Winter,11140684,4,0.75,0.25,0,0,0.75,0.25,0,0.25,0,0.75,0,0.75,0.25,Private room,"Haderslevgade, K'Ÿbenhavn, 1671, Denmark","Vi har vist ikke nogle s'_rlige krav til hvorledes man opf'Ÿrer sig her i huset, ud over, at vi 'Ÿnsker at I behandler os, som I gerne selv vil behandles. Dette inkluderer f.ex. at man g'«r lidt stille med d'Ÿrene, hvis man kommer sent hjem om natten. So",382,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",Apartment,10
9,Female,18-30,Outdoors,Student,Fall,12319348,5,0.4,0.2,0.4,0.2,0,0.2,0.6,0.2,0.4,0.4,0,0.4,0.6,Private room,"Eskildsgade, K'Ÿbenhavn, Vesterbro 1657, Denmark","No smoking, no shoes in apartment, no party",398,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",Apartment,10
10,Female,18-30,Indoors,Student,Fall,10659884,10,0.5,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.1,0.5,0.1,0.7,0.3,Entire home/apt,"Dancy Street, Austin, TX 78722, United States",,125,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Ho",Bungalow,9
